economy,date,country,gdp_pc_ppp,gdp_ppp,ir_spread,cred_priv_sec,bureaucracy_qual,corruption,investment_profile,law_order,exchange_rate,sd_interbank
BR,1997,Brunei,63095.77641512182,19683.232218908568,,,3.2916666666666665,4.0,9.75,6.0,0.0200753661139101,
BR,1998,Brunei,62020.9094056489,19793.601111356413,,,3.0,3.5833333333333335,7.583333333333333,6.0,0.0399235203837124,
BR,1999,Brunei,63432.25556091129,20692.23608652487,,60.17655508528922,3.0,3.0,7.25,6.0,0.0141559399925215,
BR,2000,Brunei,65305.76557362962,21757.59538733831,,50.29314599166905,3.0,3.0,8.0,6.0,0.009065060608679,
BR,2001,Brunei,67184.35449827502,22844.96479746645,,53.63314179280421,3.0,2.6666666666666665,10.625,6.0,0.0193928211902642,
BR,2002,Brunei,69510.20853197297,24104.88913513465,,53.67576275521787,3.0,2.5,11.5,6.0,0.0100500562268201,
BR,2003,Brunei,71514.39372183959,25265.53470116987,4.43525,50.83898452385976,3.0,2.5,11.5,6.0,0.0128856051171187,
BR,2004,Brunei,72549.22495878571,26076.58557461123,4.45608333333333,46.43585374265163,3.0,2.5,11.5,6.0,0.0104738153197823,
BR,2005,Brunei,73930.47770316251,26993.05243611248,4.494,40.29210530699414,3.0,2.5,11.5,4.5,0.0104954162652547,
BR,2006,Brunei,78411.61459876876,29032.919656183924,4.4585,34.94993455431312,3.2083333333333335,2.5,11.5,5.0,0.0092337784739176,
BR,2007,Brunei,79631.19236385806,29858.910044714037,4.32724333333333,37.50752861673484,3.5,2.5,11.5,5.0,0.011202295810807,
BR,2008,Brunei,78670.55794596461,29849.26176641584,4.624238541666667,35.15214396746724,3.5,2.5,11.5,5.0,0.0234963463495824,
BR,2009,Brunei,76961.81219678276,29546.101473218077,4.800078708333333,44.51195183584967,3.5,2.5,11.5,5.0,0.0148294255345752,
BR,2010,Brunei,78907.87121561277,30667.22851646304,5.02945925,36.9078423506153,3.5,2.5,11.5,5.0,0.018496431411409,
BR,2011,Brunei,82502.93529734877,32480.41559134264,5.104296666666667,28.12043613419302,3.5,2.5,11.5,5.0,0.0330844813152695,
BR,2012,Brunei,83725.4210254706,33405.52200953149,5.268459259259259,27.99132642989035,3.5,2.5,11.5,5.0,0.0175268019548628,
BR,2013,Brunei,82263.498305978,33269.08624840193,5.215653333333333,31.19211642370379,3.5,2.5,11.25,5.0,0.0115200480133739,
BR,2014,Brunei,80782.03149739816,33101.97226465735,5.2,33.20796806631649,3.5,2.5,10.916666666666666,5.0,0.0099352239103971,
BR,2015,Brunei,80177.75611831518,33266.3122577818,5.164167333333333,41.43628506432366,3.5,2.5,9.5,5.0,0.01887187283995,
BR,2016,Brunei,78134.66652062633,32800.93300535893,5.166657219047619,44.30138546494761,3.5,2.5,9.5,5.0,0.0208835505507461,
BR,2017,Brunei,79789.48785926703,33868.48328008665,5.1845,39.46180951850104,3.5,2.8333333333333335,9.166666666666666,5.0,0.0052338548850114,
BR,2018,Brunei,80920.04868410049,34711.625923629115,5.187833333333333,35.0398187648646,3.5,3.0,9.5,5.0,0.0102698441054694,
BR,2019,Brunei,,,,,3.5,3.0,9.5,4.333333333333333,0.0113625913525084,
CN,1997,China,2281.443841225233,2806347.032995128,2.970000000000001,96.72581943792494,2.0,2.0,7.583333333333333,5.0,0.0001946905568489,
CN,1998,China,2464.186352250231,3060359.27738189,2.61,105.1932232831795,2.0,2.0,6.166666666666667,5.0,0.0001031774635483,
CN,1999,China,2668.230229250617,3342585.396240272,3.6,110.3835245844428,2.0,2.0,6.25,5.0,0.0001033993829121,
CN,2000,China,2936.287744814801,3707489.039551685,3.6,111.122970938856,2.0,1.0833333333333333,8.416666666666666,4.75,0.0001654536550947,
CN,2001,China,3227.419438023258,4104793.412249881,3.6,110.0445907059279,2.0,1.0,8.333333333333334,4.0,3.85150781383298e-05,
CN,2002,China,3553.92379293948,4550444.02447971,3.33,117.4986985600001,2.0,1.0,7.5,4.5,5.59142703204509e-05,
CN,2003,China,3958.471976770386,5100095.294870966,3.33,125.6714326077155,2.0,1.9166666666666667,7.5,4.5,5.22324586045781e-05,
CN,2004,China,4449.561919471867,5766965.964779499,3.33,118.636103006947,2.0,2.0,7.416666666666667,4.5,2.23375464101859e-05,
